City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
0,Kapaa,US,77.32,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Hithadhoo,MV,81.82,light rain,-0.6,73.0833,Scoop Guest House
5,Nampula,MZ,76.95,scattered clouds,-15.1165,39.2666,BUTIK Hotel
6,Ugoofaaru,MV,83.37,overcast clouds,5.6667,73.0,Ungoofaaru Inn
19,Bethel,US,79.65,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
22,Sumenep,ID,82.09,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
28,Port Blair,IN,79.72,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
31,Victoria,HK,84.33,broken clouds,22.2855,114.1577,Mini Hotel Central
36,Pau Brasil,BR,77.72,overcast clouds,-15.4642,-39.6511,Tina Hotel
38,Faanui,PF,77.13,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Narsingdi,BD,86.02,few clouds,23.9208,90.7181,Abdul Kadir Mollah City College Boys Hostel
42,Cam Ranh,VN,78.76,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
43,Bengkulu,ID,76.8,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Maragogi,BR,83.12,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
49,Buluang,PH,76.6,few clouds,13.3068,123.3425,Enon Beach Resort
56,Atuona,PF,77.7,clear sky,-9.8,-139.0333,Villa Enata
58,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
68,Inirida,CO,77.05,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
76,Tulsipur,NP,76.06,few clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
77,Kavieng,PG,81.5,light rain,-2.5744,150.7967,Nusa Island Retreat
80,Numan,NG,83.39,overcast clouds,9.4667,12.0333,Zangun Motel
85,Bandarbeyla,SO,78.58,broken clouds,9.4942,50.8122,JABIR HOTEL
87,Salumbar,IN,79.14,overcast clouds,24.1333,74.05,chatra chaya guest house
91,Vicuna,CL,86.77,clear sky,-30.0319,-70.7081,Los Mosaicos
94,San Quintin,MX,76.73,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
100,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
