City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,77.32,78,75,11.5,moderate rain
1,Hovd,MN,48.0056,91.6419,47.1,37,4,7.92,clear sky
2,Hithadhoo,MV,-0.6,73.0833,81.82,79,72,18.9,light rain
3,Napanee,CA,44.2501,-76.9494,69.84,97,100,8.63,moderate rain
4,Ampanihy,MG,-24.7,44.75,68.27,72,37,17.13,scattered clouds
5,Nampula,MZ,-15.1165,39.2666,76.95,57,40,11.5,scattered clouds
6,Ugoofaaru,MV,5.6667,73,83.37,77,99,17.49,overcast clouds
7,Hobart,AU,-42.8794,147.3294,51.26,67,47,3,scattered clouds
8,Thompson,CA,55.7435,-97.8558,51.96,93,90,2.3,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,39.36,54,93,4.45,overcast clouds
10,Jamestown,US,42.097,-79.2353,62.51,51,75,5.01,broken clouds
11,Bredasdorp,ZA,-34.5322,20.0403,67.32,52,26,23.02,scattered clouds
12,Barrow,US,71.2906,-156.7887,24.82,86,75,5.75,broken clouds
13,Punta Arenas,CL,-53.15,-70.9167,48.31,46,20,28.77,few clouds
14,Nikolskoye,RU,59.7035,30.7861,46.29,90,99,8.97,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,47.48,94,87,11.9,overcast clouds
16,Khatanga,RU,71.9667,102.5,33.76,98,100,5.59,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,74.07,70,9,23.53,clear sky
18,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,14.97,clear sky
19,Bethel,US,41.3712,-73.414,79.65,83,75,3,broken clouds
20,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,59,43,8.12,scattered clouds
21,Yellowknife,CA,62.456,-114.3525,46.92,100,90,8.05,overcast clouds
22,Sumenep,ID,-7.0167,113.8667,82.09,74,100,12.97,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,49.62,40,20,19.57,few clouds
24,Cape Town,ZA,-33.9258,18.4232,67.12,73,20,1.99,few clouds
25,Baijiantan,CN,45.6333,85.1833,64.09,21,61,0.29,broken clouds
26,Chapais,CA,49.7834,-74.8492,46.18,78,100,10.25,overcast clouds
27,Bluff,NZ,-46.6,168.3333,47.8,71,73,29.24,broken clouds
28,Port Blair,IN,11.6667,92.75,79.72,81,100,12.21,overcast clouds
29,Vila Velha,BR,-20.3297,-40.2925,75.15,50,75,17.27,broken clouds
30,East London,ZA,-33.0153,27.9116,70.74,73,0,6.91,clear sky
31,Victoria,HK,22.2855,114.1577,84.33,87,83,17.74,broken clouds
32,Marzuq,YE,14.4,46.4667,85.48,15,2,5.93,clear sky
33,Mahebourg,MU,-20.4081,57.7,73.69,73,75,10.36,broken clouds
34,Apac,UG,1.9756,32.5386,74.21,66,41,1.54,scattered clouds
35,Avera,US,33.194,-82.5271,70.93,52,0,6.73,clear sky
36,Pau Brasil,BR,-15.4642,-39.6511,77.72,54,99,6.85,overcast clouds
37,Busselton,AU,-33.65,115.3333,49.08,76,0,11.88,clear sky
38,Faanui,PF,-16.4833,-151.75,77.13,71,14,8.63,few clouds
